"Date","Price","Open","High","Low","Vol.","Change %"
"02-08-2024","1,424.08","1,462.88","1,462.88","1,420.22","490.45M","-2.70%"
"01-08-2024","1,463.53","1,490.61","1,490.61","1,461.45","395.71M","-1.73%"
"31-07-2024","1,489.26","1,476.77","1,500.12","1,476.77","334.68M","1.08%"
"30-07-2024","1,473.41","1,465.08","1,480.60","1,465.08","335.76M","0.53%"
"29-07-2024","1,465.62","1,476.44","1,483.21","1,464.10","243.91M","-0.63%"
"26-07-2024","1,474.98","1,459.55","1,477.26","1,459.55","260.60M","1.04%"
"25-07-2024","1,459.79","1,479.68","1,479.68","1,444.62","340.30M","-1.52%"
"24-07-2024","1,482.37","1,492.43","1,492.43","1,478.94","279.84M","-0.81%"
"23-07-2024","1,494.50","1,497.57","1,505.18","1,490.17","256.40M","-0.09%"
"22-07-2024","1,495.85","1,482.23","1,500.44","1,482.23","272.31M","0.96%"
"19-07-2024","1,481.59","1,492.19","1,492.19","1,479.91","283.38M","-0.76%"
"18-07-2024","1,492.88","1,494.67","1,508.12","1,490.03","255.87M","-0.03%"
"17-07-2024","1,493.35","1,510.77","1,510.77","1,490.45","218.38M","-1.17%"
"16-07-2024","1,511.04","1,516.42","1,516.42","1,506.38","228.17M","-0.46%"
"15-07-2024","1,517.96","1,530.72","1,533.19","1,517.88","205.80M","-0.89%"
"12-07-2024","1,531.57","1,517.74","1,534.24","1,517.74","230.60M","0.95%"
"11-07-2024","1,517.16","1,516.09","1,526.08","1,514.50","256.10M","0.20%"
"10-07-2024","1,514.15","1,500.75","1,514.70","1,498.79","240.06M","0.89%"
"09-07-2024","1,500.80","1,515.30","1,515.30","1,497.79","248.61M","-1.00%"
"08-07-2024","1,516.00","1,518.70","1,531.09","1,513.34","258.28M","-0.22%"
"05-07-2024","1,519.36","1,523.50","1,531.16","1,514.60","216.88M","-0.23%"
"04-07-2024","1,522.89","1,514.24","1,525.04","1,514.24","192.78M","0.65%"
"03-07-2024","1,513.11","1,498.23","1,516.70","1,498.23","272.16M","1.13%"
"02-07-2024","1,496.20","1,496.16","1,496.95","1,484.37","303.88M","-0.04%"
"01-07-2024","1,496.86","1,486.81","1,511.86","1,486.81","","0.85%"
"28-06-2024","1,484.29","1,489.22","1,494.93","1,481.14","311.86M","-0.27%"
"27-06-2024","1,488.28","1,493.32","1,497.52","1,487.89","290.67M","-0.34%"
"26-06-2024","1,493.37","1,503.70","1,511.62","1,486.68","280.25M","-0.59%"
"25-06-2024","1,502.22","1,506.55","1,506.55","1,495.02","256.79M","-0.45%"
"24-06-2024","1,508.99","1,497.36","1,512.52","1,496.59","273.81M","0.73%"
"21-06-2024","1,498.03","1,510.99","1,510.99","1,494.22","701.30M","-0.90%"
"20-06-2024","1,511.69","1,492.69","1,512.48","1,492.69","301.30M","1.29%"
"19-06-2024","1,492.42","1,500.79","1,502.23","1,492.16","260.44M","-0.54%"
"18-06-2024","1,500.52","1,486.67","1,501.81","1,486.67","319.41M","0.99%"
"17-06-2024","1,485.86","1,476.66","1,493.04","1,474.52","325.53M","0.69%"
"14-06-2024","1,475.66","1,504.37","1,506.06","1,470.02","569.94M","-1.92%"
"13-06-2024","1,504.48","1,531.97","1,531.97","1,502.02","381.98M","-1.85%"
"12-06-2024","1,532.78","1,515.59","1,536.25","1,515.59","298.41M","1.22%"
"11-06-2024","1,514.29","1,532.36","1,536.97","1,507.64","356.66M","-1.14%"
"10-06-2024","1,531.79","1,538.79","1,538.79","1,517.65","298.07M","-0.57%"
"07-06-2024","1,540.61","1,546.76","1,549.39","1,532.17","267.95M","-0.38%"
"06-06-2024","1,546.53","1,538.84","1,548.41","1,538.84","272.70M","0.53%"
"05-06-2024","1,538.33","1,520.95","1,542.22","1,520.95","284.08M","1.27%"
"04-06-2024","1,519.03","1,533.92","1,533.92","1,515.40","339.68M","-1.04%"
"03-06-2024","1,535.05","1,532.33","1,547.10","1,532.33","266.13M","0.29%"
"31-05-2024","1,530.66","1,530.86","1,536.25","1,527.36","748.35M","0.02%"
"30-05-2024","1,530.32","1,525.68","1,532.78","1,521.68","259.84M","0.18%"
"29-05-2024","1,527.51","1,545.16","1,545.16","1,524.16","288.36M","-1.16%"
"28-05-2024","1,545.50","1,553.89","1,556.72","1,542.43","252.76M","-0.54%"
"27-05-2024","1,553.88","1,547.66","1,553.91","1,545.64","146.80M","0.41%"
"24-05-2024","1,547.46","1,546.26","1,548.69","1,534.48","231.69M","-0.03%"
"23-05-2024","1,547.98","1,543.22","1,555.41","1,543.14","248.98M","0.31%"
"22-05-2024","1,543.25","1,546.61","1,546.61","1,541.23","271.03M","-0.29%"
"21-05-2024","1,547.76","1,553.69","1,553.69","1,539.53","305.98M","-0.41%"
"20-05-2024","1,554.12","1,552.75","1,554.56","1,550.76","288.08M","0.08%"
"17-05-2024","1,552.83","1,554.11","1,554.11","1,546.45","386.18M","-0.11%"
"16-05-2024","1,554.53","1,557.35","1,560.41","1,552.43","320.51M","-0.20%"
"15-05-2024","1,557.64","1,552.19","1,559.70","1,552.19","324.94M","0.39%"
"14-05-2024","1,551.56","1,550.96","1,552.73","1,545.94","388.42M","0.02%"
"13-05-2024","1,551.25","1,551.23","1,552.11","1,547.94","286.32M","-0.09%"
"10-05-2024","1,552.63","1,543.38","1,555.73","1,543.38","371.07M","0.73%"
"09-05-2024","1,541.34","1,534.24","1,542.55","1,532.82","264.74M","0.45%"
"08-05-2024","1,534.38","1,528.29","1,537.87","1,528.29","318.35M","0.39%"
"07-05-2024","1,528.47","1,516.91","1,528.79","1,516.91","336.06M","0.83%"
"06-05-2024","1,515.93","1,504.85","1,520.47","1,504.85","249.99M","0.74%"
"03-05-2024","1,504.86","1,498.20","1,512.62","1,498.20","413.01M","0.53%"
"02-05-2024","1,496.99","1,502.78","1,502.78","1,491.93","390.28M","-0.44%"
"30-04-2024","1,503.61","1,517.85","1,521.14","1,502.44","333.45M","-0.99%"
"29-04-2024","1,518.59","1,520.09","1,527.03","1,518.55","306.02M","-0.06%"
"26-04-2024","1,519.43","1,505.61","1,523.57","1,505.61","290.84M","0.96%"
"25-04-2024","1,504.93","1,515.69","1,515.79","1,495.54","301.95M","-0.72%"
"24-04-2024","1,515.77","1,519.08","1,527.24","1,513.51","339.05M","-0.19%"
"23-04-2024","1,518.62","1,503.92","1,519.95","1,503.92","382.93M","1.06%"
"22-04-2024","1,502.71","1,496.84","1,505.27","1,496.84","301.03M","0.46%"
"19-04-2024","1,495.88","1,497.08","1,500.40","1,484.63","338.76M","-0.33%"
"18-04-2024","1,500.80","1,495.27","1,502.23","1,493.34","284.39M","0.41%"
"17-04-2024","1,494.71","1,501.70","1,508.25","1,491.20","275.58M","-0.48%"
"16-04-2024","1,501.87","1,519.39","1,519.39","1,496.28","303.59M","-1.29%"
"15-04-2024","1,521.47","1,523.15","1,536.47","1,519.11","271.71M","0.00%"
"12-04-2024","1,521.43","1,521.55","1,537.75","1,516.62","303.70M","0.22%"
"11-04-2024","1,518.09","1,524.13","1,531.39","1,510.31","312.42M","-0.42%"
"10-04-2024","1,524.45","1,522.81","1,534.00","1,511.45","316.72M","0.29%"
"09-04-2024","1,520.05","1,530.38","1,530.83","1,517.05","266.92M","-0.71%"
"08-04-2024","1,530.97","1,519.92","1,533.86","1,518.58","228.45M","0.72%"
"05-04-2024","1,520.10","1,526.03","1,526.03","1,510.35","387.21M","-0.64%"
"04-04-2024","1,529.90","1,531.73","1,537.05","1,529.57","253.85M","-0.10%"
"03-04-2024","1,531.46","1,521.57","1,531.62","1,520.40","312.33M","0.69%"
"02-04-2024","1,521.00","1,527.12","1,540.31","1,520.57","367.60M","-0.35%"
"28-03-2024","1,526.34","1,525.13","1,530.86","1,525.13","314.30M","0.10%"
"27-03-2024","1,524.88","1,522.71","1,528.39","1,522.71","255.13M","0.10%"
"26-03-2024","1,523.29","1,518.61","1,525.05","1,517.04","262.18M","0.30%"
"25-03-2024","1,518.73","1,515.03","1,521.19","1,512.12","238.45M","0.24%"
"22-03-2024","1,515.10","1,515.58","1,517.44","1,508.93","268.99M","-0.08%"
"21-03-2024","1,516.35","1,503.59","1,520.52","1,503.59","289.87M","0.97%"
"20-03-2024","1,501.71","1,502.89","1,504.74","1,497.26","275.83M","-0.11%"
"19-03-2024","1,503.42","1,494.62","1,503.48","1,493.32","294.96M","0.60%"
"18-03-2024","1,494.49","1,494.69","1,499.56","1,492.81","270.19M","0.13%"
"15-03-2024","1,492.53","1,494.13","1,503.39","1,492.40","879.72M","-0.12%"
"14-03-2024","1,494.29","1,495.89","1,504.66","1,492.04","362.10M","-0.09%"
"13-03-2024","1,495.66","1,491.71","1,500.02","1,491.71","361.24M","0.28%"
"12-03-2024","1,491.54","1,479.36","1,493.01","1,479.36","362.58M","0.84%"
"11-03-2024","1,479.08","1,487.19","1,487.22","1,474.82","293.53M","-0.56%"
"08-03-2024","1,487.47","1,491.66","1,495.37","1,487.35","256.42M","-0.23%"
"07-03-2024","1,490.95","1,477.39","1,492.27","1,471.14","344.80M","0.87%"
"06-03-2024","1,478.07","1,469.67","1,479.10","1,469.41","334.32M","0.57%"
"05-03-2024","1,469.72","1,471.34","1,474.31","1,466.15","330.88M","-0.10%"
"04-03-2024","1,471.15","1,471.01","1,472.24","1,467.53","230.13M","0.23%"
"01-03-2024","1,467.75","1,460.18","1,467.76","1,459.81","393.80M","0.59%"
"29-02-2024","1,459.20","1,462.27","1,464.73","1,459.18","588.90M","-0.24%"
"28-02-2024","1,462.67","1,464.05","1,464.05","1,458.86","274.66M","-0.15%"
"27-02-2024","1,464.91","1,460.12","1,466.00","1,458.83","294.41M","0.32%"
"26-02-2024","1,460.28","1,466.50","1,466.50","1,459.37","310.36M","-0.47%"
"23-02-2024","1,467.12","1,463.06","1,468.90","1,461.42","327.96M","0.29%"
"22-02-2024","1,462.92","1,446.19","1,467.71","1,446.19","343.39M","1.24%"
"21-02-2024","1,445.06","1,441.55","1,446.01","1,438.96","313.16M","0.23%"
"20-02-2024","1,441.72","1,445.01","1,445.46","1,439.82","232.66M","-0.24%"
"19-02-2024","1,445.12","1,446.68","1,446.68","1,441.01","204.79M","-0.14%"
"16-02-2024","1,447.13","1,442.33","1,450.18","1,442.33","323.37M","0.47%"
"15-02-2024","1,440.41","1,431.18","1,442.60","1,431.18","313.55M","0.58%"
"14-02-2024","1,432.11","1,426.42","1,434.39","1,424.23","241.65M","0.33%"
"13-02-2024","1,427.38","1,442.54","1,442.54","1,421.82","273.08M","-1.02%"
"12-02-2024","1,442.11","1,437.31","1,442.12","1,437.06","255.82M","0.40%"
"09-02-2024","1,436.39","1,431.76","1,437.57","1,431.38","330.78M","0.33%"
"08-02-2024","1,431.64","1,425.16","1,434.57","1,424.28","318.89M","0.46%"
"07-02-2024","1,425.04","1,429.07","1,431.39","1,425.01","393.91M","-0.26%"
"06-02-2024","1,428.74","1,418.87","1,429.45","1,418.87","458.50M","0.80%"
"05-02-2024","1,417.34","1,416.37","1,421.47","1,413.04","382.35M","0.06%"
"02-02-2024","1,416.46","1,419.25","1,426.91","1,416.11","313.52M","-0.18%"
"01-02-2024","1,418.98","1,426.09","1,426.09","1,414.93","454.49M","-0.38%"
"31-01-2024","1,424.37","1,426.86","1,431.19","1,423.59","379.77M","-0.14%"
"30-01-2024","1,426.39","1,422.37","1,428.66","1,421.90","338.59M","0.30%"
"29-01-2024","1,422.10","1,421.69","1,424.39","1,418.72","310.76M","0.07%"
"26-01-2024","1,421.09","1,408.51","1,423.37","1,408.51","294.74M","0.56%"
"25-01-2024","1,413.13","1,407.26","1,414.36","1,402.33","286.68M","0.44%"
"24-01-2024","1,406.94","1,386.63","1,407.41","1,386.63","311.20M","1.52%"
"23-01-2024","1,385.89","1,388.14","1,393.53","1,382.13","246.93M","-0.15%"
"22-01-2024","1,388.04","1,380.38","1,392.67","1,380.38","273.12M","0.59%"
"19-01-2024","1,379.90","1,383.50","1,389.84","1,377.51","301.06M","-0.10%"
"18-01-2024","1,381.31","1,367.69","1,382.25","1,367.69","283.90M","0.98%"
"17-01-2024","1,367.96","1,379.37","1,379.37","1,360.61","310.70M","-1.00%"
"16-01-2024","1,381.83","1,382.93","1,382.93","1,372.14","262.97M","-0.18%"
"15-01-2024","1,384.34","1,391.28","1,393.27","1,383.22","197.89M","-0.44%"
"12-01-2024","1,390.45","1,378.72","1,394.93","1,378.72","247.60M","0.95%"
"11-01-2024","1,377.33","1,383.15","1,393.16","1,376.89","275.46M","-0.38%"
"10-01-2024","1,382.54","1,386.42","1,389.29","1,380.75","251.70M","-0.27%"
"09-01-2024","1,386.25","1,388.92","1,391.08","1,382.30","267.16M","-0.19%"
"08-01-2024","1,388.91","1,386.16","1,389.54","1,376.78","243.91M","0.09%"
"05-01-2024","1,387.65","1,388.15","1,389.93","1,374.58","296.96M","-0.15%"
"04-01-2024","1,389.78","1,381.52","1,390.49","1,381.52","312.20M","0.64%"
"03-01-2024","1,380.98","1,394.61","1,395.57","1,375.39","296.30M","-1.01%"
"02-01-2024","1,395.11","1,396.48","1,409.18","1,387.90","263.69M","-0.03%"
"29-12-2023","1,395.52","1,394.97","1,400.72","1,394.04","138.24M","0.05%"
"28-12-2023","1,394.89","1,400.47","1,403.25","1,394.56","148.27M","-0.37%"
"27-12-2023","1,400.14","1,395.99","1,403.74","1,395.99","164.42M","0.28%"
"22-12-2023","1,396.21","1,395.75","1,397.66","1,391.58","176.62M","0.04%"
"21-12-2023","1,395.62","1,399.04","1,399.04","1,390.04","182.05M","-0.30%"
"20-12-2023","1,399.76","1,400.67","1,406.40","1,394.20","230.90M","-0.03%"
"19-12-2023","1,400.18","1,396.87","1,400.81","1,396.33","255.76M","0.24%"
"18-12-2023","1,396.76","1,400.83","1,402.28","1,394.71","248.35M","-0.36%"
"15-12-2023","1,401.80","1,400.68","1,410.96","1,400.42","726.29M","0.13%"
"14-12-2023","1,399.95","1,390.00","1,409.92","1,390.00","515.10M","0.84%"
"13-12-2023","1,388.30","1,390.25","1,394.32","1,388.23","293.90M","-0.14%"
"12-12-2023","1,390.29","1,391.79","1,398.84","1,389.15","273.09M","-0.12%"
"11-12-2023","1,391.90","1,391.57","1,393.75","1,386.62","258.65M","0.27%"
"08-12-2023","1,388.16","1,375.82","1,390.41","1,375.82","279.37M","0.92%"
"07-12-2023","1,375.49","1,376.14","1,377.13","1,372.59","289.89M","-0.07%"
"06-12-2023","1,376.39","1,370.24","1,380.58","1,370.24","315.34M","0.47%"
"05-12-2023","1,369.97","1,363.17","1,371.01","1,360.57","285.38M","0.48%"
"04-12-2023","1,363.48","1,367.45","1,368.25","1,361.87","262.38M","-0.32%"
"01-12-2023","1,367.83","1,357.76","1,368.68","1,357.76","260.98M","0.77%"
"30-11-2023","1,357.44","1,352.02","1,361.91","1,351.56","714.85M","0.35%"
"29-11-2023","1,352.75","1,350.06","1,357.15","1,347.78","323.84M","0.14%"
"28-11-2023","1,350.84","1,352.70","1,352.70","1,345.20","245.69M","-0.15%"
"27-11-2023","1,352.90","1,357.72","1,358.07","1,352.84","235.19M","-0.39%"
"24-11-2023","1,358.23","1,352.39","1,358.96","1,351.51","217.91M","0.40%"
"23-11-2023","1,352.79","1,348.06","1,353.25","1,348.06","187.56M","0.39%"
"22-11-2023","1,347.49","1,345.19","1,351.35","1,345.16","239.71M","0.17%"
"21-11-2023","1,345.24","1,350.36","1,350.78","1,344.32","263.58M","-0.38%"
"20-11-2023","1,350.41","1,348.32","1,352.02","1,347.17","303.65M","0.18%"
"17-11-2023","1,347.96","1,336.02","1,349.50","1,336.02","385.22M","0.89%"
"16-11-2023","1,336.09","1,347.47","1,347.47","1,335.91","354.31M","-0.87%"
"15-11-2023","1,347.81","1,344.29","1,351.69","1,344.29","334.20M","0.37%"
"14-11-2023","1,342.78","1,330.23","1,346.40","1,327.12","396.53M","1.03%"
"13-11-2023","1,329.06","1,317.98","1,329.60","1,317.98","287.20M","0.90%"
"10-11-2023","1,317.17","1,322.83","1,322.83","1,310.45","261.63M","-0.50%"
"09-11-2023","1,323.78","1,310.35","1,324.96","1,304.32","299.98M","1.01%"
"08-11-2023","1,310.55","1,307.40","1,317.22","1,301.25","308.61M","0.19%"
"07-11-2023","1,308.06","1,313.54","1,315.28","1,306.30","269.76M","-0.55%"
"06-11-2023","1,315.23","1,318.71","1,323.43","1,314.36","281.51M","-0.27%"
"03-11-2023","1,318.73","1,317.53","1,323.98","1,316.62","382.07M","0.14%"
"02-11-2023","1,316.95","1,296.00","1,321.88","1,296.00","377.36M","1.72%"
"01-11-2023","1,294.67","1,285.86","1,298.59","1,282.24","292.49M","0.67%"
"31-10-2023","1,286.00","1,274.05","1,289.13","1,274.05","330.65M","0.94%"
"30-10-2023","1,274.02","1,271.21","1,281.87","1,271.21","266.25M","0.30%"
"27-10-2023","1,270.18","1,283.01","1,286.48","1,268.43","266.94M","-0.88%"
"26-10-2023","1,281.47","1,285.78","1,286.13","1,271.95","305.28M","-0.38%"
"25-10-2023","1,286.38","1,284.98","1,288.61","1,277.85","249.64M","0.02%"
"24-10-2023","1,286.11","1,280.06","1,288.95","1,276.00","262.36M","0.56%"
"23-10-2023","1,278.93","1,274.47","1,280.16","1,265.15","267.23M","0.35%"
"20-10-2023","1,274.50","1,290.33","1,290.33","1,274.46","341.69M","-1.45%"
"19-10-2023","1,293.20","1,302.28","1,302.28","1,289.07","276.76M","-0.71%"
"18-10-2023","1,302.51","1,314.13","1,316.89","1,300.53","242.36M","-0.90%"
"17-10-2023","1,314.38","1,313.15","1,319.29","1,303.12","211.55M","0.05%"
"16-10-2023","1,313.73","1,309.47","1,317.69","1,304.50","232.74M","0.35%"
"13-10-2023","1,309.15","1,323.92","1,325.49","1,308.21","309.91M","-1.15%"
"12-10-2023","1,324.39","1,324.02","1,334.35","1,323.96","305.47M","0.06%"
"11-10-2023","1,323.60","1,329.57","1,330.61","1,318.58","273.53M","-0.49%"
"10-10-2023","1,330.16","1,304.81","1,330.98","1,304.81","288.45M","2.00%"
"09-10-2023","1,304.03","1,305.30","1,310.16","1,296.60","267.40M","-0.14%"
"06-10-2023","1,305.88","1,296.27","1,306.29","1,291.99","293.13M","0.77%"
"05-10-2023","1,295.87","1,295.09","1,301.26","1,291.34","243.97M","0.12%"
"04-10-2023","1,294.31","1,294.91","1,304.41","1,286.53","316.63M","-0.11%"
"03-10-2023","1,295.75","1,308.93","1,311.95","1,294.72","315.92M","-1.09%"
"02-10-2023","1,310.08","1,324.00","1,332.51","1,305.24","263.00M","-1.03%"
"29-09-2023","1,323.71","1,321.91","1,336.27","1,321.91","296.64M","0.44%"
"28-09-2023","1,317.92","1,312.42","1,318.16","1,304.12","277.09M","0.44%"
"27-09-2023","1,312.13","1,310.54","1,317.84","1,309.08","250.59M","0.12%"
"26-09-2023","1,310.55","1,319.57","1,319.57","1,304.07","268.64M","-0.75%"
"25-09-2023","1,320.49","1,331.00","1,333.22","1,313.39","261.60M","-0.85%"
"22-09-2023","1,331.82","1,334.36","1,335.55","1,324.94","312.33M","-0.24%"
"21-09-2023","1,335.02","1,351.88","1,351.88","1,331.25","330.00M","-1.32%"
"20-09-2023","1,352.86","1,345.15","1,356.31","1,343.59","376.15M","0.56%"
"19-09-2023","1,345.39","1,343.62","1,350.37","1,339.97","234.17M","0.11%"
"18-09-2023","1,343.85","1,358.21","1,358.21","1,340.91","294.08M","-1.12%"
"15-09-2023","1,359.14","1,355.99","1,370.02","1,355.99","711.95M","0.36%"
"14-09-2023","1,354.33","1,335.69","1,356.93","1,303.56","423.15M","1.38%"
"13-09-2023","1,335.91","1,339.75","1,340.30","1,329.74","271.69M","-0.40%"
"12-09-2023","1,341.34","1,347.09","1,350.05","1,338.04","287.11M","-0.32%"
"11-09-2023","1,345.71","1,341.01","1,352.32","1,341.01","289.14M","0.40%"
